year,month,jenis,kode_trayek,trayek,jumlah_penumpang,halte_awal,halte_tujuan,latitude_awal,longitude_awal,latitude_tujuan,longitude_tujuan
2021,3,Angkutan Umum Integrasi,11Q,Kampung Melayu - Pulo Gebang via BKT,10948,Kampung Melayu,Pulo Gebang,106.866821,-6.224673,106.952651,-6.212697
2021,3,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,58186,Pulo Gebang,Pulo Gadung 2,106.952651,-6.212697,-6.1756863,106.8778562
2021,3,Angkutan Umum Integrasi,10K,Tanjung Priok - Senen via Taman BMW,36891,Tanjung Priok,Senen,106.88214,-6.10959,-6.1775,106.848
2021,5,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,29592,Terminal Tanjung Priok,Ancol Barat,-6.09194,106.88167,-6.12815,106.84494
2021,5,Mikrotrans,JAK.85,Bintara - Cipinang Indah,28069,Bintara,Cipinang Indah,-6.2345741,106.9459448,-6.244,106.899
2021,5,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,40355,Terminal Kampung Melayu,Kapin Raya,-6.235,106.893,-6.25684,106.89837
2021,5,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,66030,Rawa Buaya,Rawa Kompeni,106.726188,-6.153916,-6.1046871,106.6997506
2021,5,Mikrotrans,JA.77,Tanjung Priok - Jembatan Item,62948,Tanjung Priok,Jembatan Item,106.88214,-6.10959,106.85515,-6.13098
2021,5,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,46434,Cililitan,Kp. Pulo,106.866352,-6.262494,-6.2526054,106.8047095
2021,5,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,43117,Terminal Rawamangun,Cipinang Muara,-6.2005,106.8765,-6.23,106.88
2021,5,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,74041,Jambore Cibubur,Pasar Rebo,-6.3716939,106.8979283,-6.3315,106.8925
2021,5,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,98840,Kampung Rambutan,Pasar Rebo,106.882155,-6.309885,-6.3315,106.8925
2021,5,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,63711,Kampung Rambutan,Pinang Ranti,106.882155,-6.309885,106.886338,-6.291075
2021,5,Mikrotrans,JAK.64,Lenteng Agung - Aseli,44437,Lenteng Agung,Aseli,-6.3233,106.8147,-6.3488301,106.7965722
